mshui0,gshui0,mshui9,gshui9,mrangqui0,grangqui0,mrangqui9,grangqui9,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,bf_idx_m,bf_idx_d,bf_idx_g,profit3,loss3,profit1,loss1,profit0,loss0,hot3,cool3,hot1,cool1,hot0,cool0,kwin
0.950,0.899,0.825,1.024,0,0.0,0,0.0,2.55,3.00,2.55,2.75,3.10,2.62,55.4,25.4,19.1,0.0,70.0,26.0,0.0,46.0,0.0,68.0,0.0,0.0,26.0,0.0,46.0,3
1.049,0.800,0.875,0.975,0,0.5,0,0.25,2.14,3.00,3.75,2.04,3.20,3.80,21.0,44.4,34.5,33.0,0.0,0.0,40.0,0.0,14.0,0.0,33.0,41.0,0.0,9.0,0.0,1
0.750,1.040,1.100,0.774,0.25,0.0,0,0.25,2.40,3.20,3.00,2.90,3.30,2.37,32.6,14.8,52.6,1.0,0.0,57.0,0.0,0.0,43.0,0.0,3.0,0.0,57.0,46.0,0.0,3
1.049,0.800,1.100,0.774,0.5,0,0.25,0,3.50,3.60,2.00,4.50,3.80,1.72,20.8,56.0,23.2,30.0,0.0,0.0,90.0,29.0,0.0,0.0,32.0,83.0,0.0,0.0,27.0,3
0.925,0.925,0.774,1.100,0,0.75,0,0.75,1.57,3.60,6.50,1.64,3.60,5.25,32.7,27.9,39.4,0.0,1.0,9.0,0.0,0.0,17.0,3.0,0.0,0.0,11.0,6.0,0.0,3
1.024,0.825,0.825,1.024,0,1.0,0,0.5,1.80,3.40,4.75,1.55,4.00,5.75,43.1,32.8,24.1,0.0,11.0,10.0,0.0,31.0,0.0,16.0,0.0,0.0,12.0,0.0,37.0,3
0.975,0.875,0.875,0.975,0,0.5,0,0.25,2.14,3.10,3.60,1.95,3.40,3.80,25.4,13.9,60.6,18.0,0.0,55.0,0.0,0.0,93.0,0.0,15.0,0.0,56.0,84.0,0.0,3
1.000,0.850,0.925,0.925,0.25,0,0.25,0,3.60,3.00,2.20,3.80,3.10,2.10,23.6,16.3,60.0,33.0,0.0,55.0,0.0,0.0,58.0,0.0,38.0,0.0,56.0,62.0,0.0,3
0.850,1.000,1.100,0.774,0,0.0,0,0.5,2.10,3.00,4.00,2.50,3.00,3.00,43.2,34.4,22.5,0.0,29.0,0.0,1.0,33.0,0.0,26.0,0.0,1.0,0.0,0.0,32.0,0
0.950,0.899,1.049,0.800,0,0.5,0,0.5,2.00,3.25,3.90,1.90,3.40,4.00,53.6,32.4,14.0,0.0,40.0,18.0,0.0,64.0,0.0,42.0,0.0,0.0,18.0,0.0,66.0,1
0.700,1.100,0.825,1.024,0,0.0,0,0.25,2.04,3.10,4.00,2.30,3.40,3.00,27.7,20.6,51.7,19.0,0.0,38.0,0.0,0.0,56.0,0.0,16.0,0.0,39.0,55.0,0.0,1
0.720,1.070,0.925,0.925,0,0.0,0,0.25,2.14,3.20,3.50,2.45,3.20,3.00,15.3,24.9,59.8,49.0,0.0,21.0,0.0,0.0,82.0,0.0,51.0,0.0,22.0,81.0,0.0,3
0.825,0.975,0.925,0.875,0.25,0,0.25,0,3.10,3.40,2.00,3.20,3.40,2.20,14.9,45.8,39.3,56.0,0.0,0.0,37.0,0.0,18.0,0.0,57.0,35.0,0.0,17.0,0.0,1
0.899,0.899,0.950,0.850,0,0.25,0,0.25,2.10,3.30,3.00,2.14,3.40,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.875,0.925,0.899,0.899,0.25,0,0,0.0,2.50,3.30,2.50,3.10,3.40,2.25,9.2,27.4,63.5,74.0,0.0,26.0,0.0,0.0,72.0,0.0,75.0,0.0,28.0,74.0,0.0,3
0.950,0.899,0.825,1.024,0,1.25,0,0.25,2.00,4.00,3.20,1.44,5.25,5.50,51.8,27.1,21.1,0.0,20.0,30.0,0.0,45.0,0.0,24.0,0.0,0.0,36.0,0.0,51.0,3
0.770,1.020,1.049,0.800,1.5,0,1.0,0,5.50,4.20,1.44,9.50,5.25,1.30,28.9,22.8,48.3,18.0,0.0,41.0,0.0,0.0,14.0,0.0,39.0,0.0,48.0,18.0,0.0,1
0.950,0.850,0.950,0.899,1.25,0,1.5,0,6.50,5.25,1.30,7.50,4.75,1.36,54.2,7.5,38.3,0.0,57.0,81.0,0.0,0.0,16.0,43.0,0.0,0.0,81.0,14.0,0.0,0
0.990,0.909,0.790,1.109,0.75,0,0.75,0,4.33,3.60,1.80,5.00,4.00,1.61,32.0,36.5,31.5,0.0,0.0,0.0,16.0,6.0,0.0,0.0,5.0,9.0,0.0,0.0,3.0,0
0.919,0.980,1.109,0.790,0,1.5,0,1.5,1.36,4.75,8.50,1.30,5.00,11.00,31.5,28.4,40.1,2.0,0.0,8.0,0.0,0.0,38.0,1.0,0.0,0.0,13.0,9.0,0.0,3
0.889,1.009,0.909,0.990,0,0.5,0,0.5,1.83,3.50,4.20,1.80,3.60,4.50,36.5,35.9,27.6,0.0,6.0,0.0,4.0,21.0,0.0,7.0,0.0,4.0,0.0,0.0,24.0,0
0.970,0.820,1.149,0.675,0.5,0,0.0,0.0,3.10,3.50,2.20,4.33,3.80,1.80,35.0,37.7,27.3,0.0,14.0,0.0,18.0,16.0,0.0,8.0,0.0,18.0,0.0,0.0,14.0,0
1.049,0.750,0.850,0.950,0,0.0,0,0.0,2.50,3.30,2.80,2.87,3.40,2.37,49.0,13.4,37.6,0.0,42.0,61.0,0.0,0.0,9.0,39.0,0.0,0.0,60.0,10.0,0.0,1
0.975,0.875,0.875,0.975,0,1.25,0,1.5,1.33,5.25,8.00,1.44,4.75,6.00,45.7,23.5,30.8,0.0,18.0,42.0,0.0,26.0,0.0,21.0,0.0,0.0,44.0,0.0,35.0,3
0.850,1.000,0.975,0.875,0,0.5,0,1.0,1.55,3.75,6.50,1.75,3.80,4.33,56.2,15.6,28.1,0.0,44.0,61.0,0.0,34.0,0.0,46.0,0.0,0.0,62.0,0.0,36.0,3
0.925,0.875,0.975,0.825,0,0.75,0,1.0,1.53,3.80,6.50,1.64,3.75,5.25,47.6,17.2,35.2,0.0,27.0,53.0,0.0,2.0,0.0,31.0,0.0,0.0,55.0,0.0,17.0,1
0.925,0.925,1.100,0.774,0,0.75,0,1.0,1.60,3.75,5.75,1.64,3.60,5.50,49.1,23.1,27.8,0.0,29.0,41.0,0.0,33.0,0.0,30.0,0.0,0.0,41.0,0.0,38.0,3
1.000,0.850,0.800,1.049,0,0.0,0,0.25,1.95,3.75,3.50,2.60,3.60,2.50,13.9,26.6,59.6,61.0,0.0,29.0,0.0,0.0,78.0,0.0,62.0,0.0,28.0,72.0,0.0,0
